"","hostelName","hostelLink","minPrice","location"
"39","RYOKAN&HOSTEL WASABI Nippori","https://www.hostelworld.com/hosteldetails.php/RYOKANHOSTEL-WASABI-Nippori/Tokyo/88791","CA$23.96","             9.1km from city centre          "
"40","Turn Table Hostel","https://www.hostelworld.com/hosteldetails.php/Turn-Table-Hostel/Tokyo/284581","CA$53.91","             3.8km from city centre          "
"41","Oakhostel Fuji","https://www.hostelworld.com/hosteldetails.php/Oakhostel-Fuji/Tokyo/265646","CA$23.72","             10km from city centre          "
"42","Kikka","https://www.hostelworld.com/hosteldetails.php/Kikka/Tokyo/291488","CA$35.94","             8km from city centre          "
"43","GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL","https://www.hostelworld.com/hosteldetails.php/GRIDS-TOKYO-NIHOMBASHI-EAST-HOTEL-and-HOSTEL/Tokyo/102834","CA$28.75","             8.3km from city centre          "
"44","Little Japan","https://www.hostelworld.com/hosteldetails.php/Little-Japan/Tokyo/277898","CA$25.16","             8.5km from city centre          "
"45","UNPLAN Shinjuku","https://www.hostelworld.com/hosteldetails.php/UNPLAN-Shinjuku/Tokyo/294428","CA$41.93","             1.8km from city centre          "
"46","Tokyo Hostel Fuji","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hostel-Fuji/Tokyo/271785","CA$23.96","             1.6km from city centre          "
"47","Ace Inn Shinjuku","https://www.hostelworld.com/hosteldetails.php/Ace-Inn-Shinjuku/Tokyo/20457","CA$26.55","             3km from city centre          "
"48","Quality Hostel K's House Tokyo Oasis","https://www.hostelworld.com/hosteldetails.php/Quality-Hostel-K-s-House-Tokyo-Oasis/Tokyo/38396","CA$35.34","             9.6km from city centre          "
"49","Hiromas Hostel in Kanda","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Kanda/Tokyo/276841","CA$23.95","             7.6km from city centre          "
"50","&And Hostel Akihabara","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Akihabara/Tokyo/283418","CA$38.33","             7.8km from city centre          "
"51","Playsis East Tokyo","https://www.hostelworld.com/hosteldetails.php/Playsis-East-Tokyo/Tokyo/287001","CA$26.36","             10.2km from city centre          "
"52","Obi Hostel","https://www.hostelworld.com/hosteldetails.php/Obi-Hostel/Tokyo/274874","CA$23.96","             8.2km from city centre          "
"53","Focus Kuramae","https://www.hostelworld.com/hosteldetails.php/Focus-Kuramae/Tokyo/294343","CA$21.56","             9km from city centre          "
"54","Khaosan World Ryogoku Hostel","https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Ryogoku-Hostel/Tokyo/275477","CA$27.55","             9.5km from city centre          "
"55","Stayto (former: Oak Hotel)","https://www.hostelworld.com/hosteldetails.php/Stayto-former-Oak-Hotel/Tokyo/53367","CA$29.95","             8.7km from city centre          "
"56","Hostel WAQWAQ Tokyo Ueno Asakusa","https://www.hostelworld.com/hosteldetails.php/Hostel-WAQWAQ-Tokyo-Ueno-Asakusa/Tokyo/284498","CA$24.77","             9km from city centre          "
"57","Homeikan","https://www.hostelworld.com/hosteldetails.php/Homeikan/Tokyo/1133","CA$43.13","             6.3km from city centre          "
"58","Oak Hostel Zen","https://www.hostelworld.com/hosteldetails.php/Oak-Hostel-Zen/Tokyo/85697","CA$26.36","             8.8km from city centre          "
"59","Hostel Chapter Two Tokyo","https://www.hostelworld.com/hosteldetails.php/Hostel-Chapter-Two-Tokyo/Tokyo/283855","CA$44.32","             9.8km from city centre          "
"60","Khaosan World Asakusa RYOKAN & HOSTEL","https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Asakusa-RYOKAN-and-HOSTEL/Tokyo/79505","CA$29.95","             9.5km from city centre          "
"61","Sakura Hotel Ikebukuro","https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Ikebukuro/Tokyo/22747","CA$28.03","             5.1km from city centre          "
"62","Hostel Pumpkey Tokyo","https://www.hostelworld.com/hosteldetails.php/Hostel-Pumpkey-Tokyo/Tokyo/284499","CA$35.94","             2.3km from city centre          "
"63","Train Hostel HOKUTOSEI","https://www.hostelworld.com/hosteldetails.php/Train-Hostel-HOKUTOSEI/Tokyo/272910","CA$25.16","             8.3km from city centre          "
"64","Toco Tokyo Heritage Hostel","https://www.hostelworld.com/hosteldetails.php/Toco-Tokyo-Heritage-Hostel/Tokyo/46418","CA$35.94","             9.1km from city centre          "
"65","ARTnSHELTER","https://www.hostelworld.com/hosteldetails.php/ARTnSHELTER/Tokyo/101399","CA$28.15","             10.5km from city centre          "
"66","Hostel Wahaku Kotobuki","https://www.hostelworld.com/hosteldetails.php/Hostel-Wahaku-Kotobuki/Tokyo/288767","CA$27.67","             9.3km from city centre          "
"67","Book And Bed Tokyo Asakusa","https://www.hostelworld.com/hosteldetails.php/Book-And-Bed-Tokyo-Asakusa/Tokyo/281524","CA$49.16","             9.6km from city centre          "
"68","Book And Bed Tokyo Ikebukuro","https://www.hostelworld.com/hosteldetails.php/Book-And-Bed-Tokyo-Ikebukuro/Tokyo/264865","CA$49.16","             4.9km from city centre          "
"69","bnb+Shinjuku Castle","https://www.hostelworld.com/hosteldetails.php/bnbShinjuku-Castle/Tokyo/282677","CA$23.96","             1.3km from city centre          "
"70","Iza Tokyo Asakusa Guesthouse","https://www.hostelworld.com/hosteldetails.php/Iza-Tokyo-Asakusa-Guesthouse/Tokyo/266642","CA$29.95","             9.9km from city centre          "
"71","Guest House Shinagawa-shuku Tokyo","https://www.hostelworld.com/hosteldetails.php/Guest-House-Shinagawa-shuku-Tokyo/Tokyo/38400","CA$39.48","             8.7km from city centre          "
"72","Good Diner Inn Copain","https://www.hostelworld.com/hosteldetails.php/Good-Diner-Inn-Copain/Tokyo/269709","CA$41.93","             5.6km from city centre          "
"73","YADOYA Guesthouse Green","https://www.hostelworld.com/hosteldetails.php/YADOYA-Guesthouse-Green/Tokyo/48451","CA$27.55","             2.6km from city centre          "
"74","Ikidane House","https://www.hostelworld.com/hosteldetails.php/Ikidane-House/Tokyo/274006","CA$23.96","             8.2km from city centre          "
"75","Tadaima Japan Shinjuku Ryokan","https://www.hostelworld.com/hosteldetails.php/Tadaima-Japan-Shinjuku-Ryokan/Tokyo/284493","CA$77.63","             2.8km from city centre          "
"76","The Wardrobe Hostel Record","https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Record/Tokyo/294517","CA$29.95","             7.6km from city centre          "
"77","Ikidane House Asakusa Hatago","https://www.hostelworld.com/hosteldetails.php/Ikidane-House-Asakusa-Hatago/Tokyo/285893","CA$30.55","             10km from city centre          "
"78","Akihabara Hotel 3000","https://www.hostelworld.com/hosteldetails.php/Akihabara-Hotel-3000/Tokyo/264449","CA$25.88","             8km from city centre          "
"79","Jimbocho Sakura Hotel","https://www.hostelworld.com/hosteldetails.php/Jimbocho-Sakura-Hotel/Tokyo/4662","CA$25.76","             5.9km from city centre          "
"80","&And Hostel Kanda","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Kanda/Tokyo/289744","CA$21.56","             7.7km from city centre          "
"81","1night1980hostel Tokyo","https://www.hostelworld.com/hosteldetails.php/1night1980hostel-Tokyo/Tokyo/86643","CA$25.64","             9.4km from city centre          "
"82","Asakusa Hostel Toukaisou","https://www.hostelworld.com/hosteldetails.php/Asakusa-Hostel-Toukaisou/Tokyo/15493","CA$14.97","             9.3km from city centre          "
"83","MyCUBE by MYSTAYS Asakusa-Kuramae","https://www.hostelworld.com/hosteldetails.php/MyCUBE-by-MYSTAYS-Asakusa-Kuramae/Tokyo/272217","CA$38.33","             9.2km from city centre          "
"84","Khaosan Tokyo Laboratory","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Laboratory/Tokyo/74311","CA$31.15","             9.3km from city centre          "
"85","328 Hostel & Lounge","https://www.hostelworld.com/hosteldetails.php/328-Hostel-and-Lounge/Tokyo/90420","CA$39.29","             16.5km from city centre          "
"86","Top  Edge Hostel Koenji","https://www.hostelworld.com/hosteldetails.php/Top-Edge-Hostel-Koenji/Tokyo/294355","CA$29.95","             4.2km from city centre          "
"87","bnb+Asakusa Kuramae","https://www.hostelworld.com/hosteldetails.php/bnbAsakusa-Kuramae/Tokyo/293759","CA$23.96","             9.1km from city centre          "
"88","Comfybed Azabujuban","https://www.hostelworld.com/hosteldetails.php/Comfybed-Azabujuban/Tokyo/293813","CA$75.47","             5.8km from city centre          "
"89","Comfybed Yoyogi","https://www.hostelworld.com/hosteldetails.php/Comfybed-Yoyogi/Tokyo/293959","CA$62.77","             0.8km from city centre          "
"90","bnb+Tokyo Tamachi","https://www.hostelworld.com/hosteldetails.php/bnbTokyo-Tamachi/Tokyo/293757","CA$23.96","             7.3km from city centre          "
"91","bnb+Post Town Shinbashi","https://www.hostelworld.com/hosteldetails.php/bnbPost-Town-Shinbashi/Tokyo/293754","CA$23.96","             6.3km from city centre          "
"92","Seven Garden","https://www.hostelworld.com/hosteldetails.php/Seven-Garden/Tokyo/291531","CA$40.73","             9.9km from city centre          "
"93","bnb+Secret Base Mejiro","https://www.hostelworld.com/hosteldetails.php/bnbSecret-Base-Mejiro/Tokyo/293751","CA$23.96","             3.8km from city centre          "
"94","bnb+Kanda Terrace Ogawamachi","https://www.hostelworld.com/hosteldetails.php/bnbKanda-Terrace-Ogawamachi/Tokyo/293752","CA$23.96","             6.6km from city centre          "
"95","The Micro Museum Hostel","https://www.hostelworld.com/hosteldetails.php/The-Micro-Museum-Hostel/Tokyo/294856","CA$29.95","             8.9km from city centre          "
"96","bnb+Asakusa Hostel","https://www.hostelworld.com/hosteldetails.php/bnbAsakusa-Hostel/Tokyo/293758","CA$23.96","             9.1km from city centre          "
"97","Family & bAKpAK Tokyo Hostel","https://www.hostelworld.com/hosteldetails.php/Family-and-bAKpAK-Tokyo-Hostel/Tokyo/61467","CA$20.96","             9.8km from city centre          "
"98","&And Hostel Asakusa Station","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Asakusa-Station/Tokyo/289672","CA$35.64","             9.3km from city centre          "
"99","The Wardrobe Hostel Roppongi","https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Roppongi/Tokyo/290768","CA$57.50","             4.7km from city centre          "
"100","Capsule Inn Kinshichou","https://www.hostelworld.com/hosteldetails.php/Capsule-Inn-Kinshichou/Tokyo/37256","CA$31.51","             10.9km from city centre          "
"101","Beagle Tokyo Hostel & Apartments","https://www.hostelworld.com/hosteldetails.php/Beagle-Tokyo-Hostel-and-Apartments/Tokyo/281987","CA$47.92","             16.1km from city centre          "
"102","Guest House Denchi","https://www.hostelworld.com/hosteldetails.php/Guest-House-Denchi/Tokyo/277899","CA$43.13","             9.2km from city centre          "
"103","Tokyo Sumidagawa Youth Hostel","https://www.hostelworld.com/hosteldetails.php/Tokyo-Sumidagawa-Youth-Hostel/Tokyo/56097","CA$29.95","             8.9km from city centre          "
"104","Hostel Kura","https://www.hostelworld.com/hosteldetails.php/Hostel-Kura/Tokyo/290681","CA$21.56","             8.8km from city centre          "
