"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"35","Khaosan Tokyo Samurai","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Samurai/Tokyo/95634",9.1,"CA$29.93","9.5km from city centre  - Show on Map"
"36","AS House (Asakusa Smile)","https://www.hostelworld.com/hosteldetails.php/AS-House-Asakusa-Smile/Tokyo/31305",8,"CA$19.16","10km from city centre  - Show on Map"
"37","JGH Tokyo","https://www.hostelworld.com/hosteldetails.php/JGH-Tokyo/Tokyo/87951",7.8,"CA$19.58","13.2km from city centre  - Show on Map"
"38","Almond hostel & cafe Shibuya","https://www.hostelworld.com/hosteldetails.php/Almond-hostel-and-cafe-Shibuya/Tokyo/278423",9,"CA$34.48","2.2km from city centre  - Show on Map"
"39","Turn Table Hostel","https://www.hostelworld.com/hosteldetails.php/Turn-Table-Hostel/Tokyo/284581",8.8,"CA$53.88","3.8km from city centre  - Show on Map"
"40","Khaosan Tokyo Kabuki","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Kabuki/Tokyo/47084",9.4,"CA$35.92","9.7km from city centre  - Show on Map"
"41","Oakhostel Fuji","https://www.hostelworld.com/hosteldetails.php/Oakhostel-Fuji/Tokyo/265646",8.7,"CA$23.71","10km from city centre  - Show on Map"
"42","Zabutton Hostel","https://www.hostelworld.com/hosteldetails.php/Zabutton-Hostel/Tokyo/93095",9.1,"CA$34.72","5.9km from city centre  - Show on Map"
"43","Tokyo Hostel Fuji","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hostel-Fuji/Tokyo/271785",9.1,"CA$23.95","1.6km from city centre  - Show on Map"
"44","Quality Hostel K's House Tokyo Oasis","https://www.hostelworld.com/hosteldetails.php/Quality-Hostel-K-s-House-Tokyo-Oasis/Tokyo/38396",9.2,"CA$35.32","9.6km from city centre  - Show on Map"
"45","Ace Inn Shinjuku","https://www.hostelworld.com/hosteldetails.php/Ace-Inn-Shinjuku/Tokyo/20457",7.7,"CA$26.53","3km from city centre  - Show on Map"
"46","GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL","https://www.hostelworld.com/hosteldetails.php/GRIDS-TOKYO-NIHOMBASHI-EAST-HOTEL-and-HOSTEL/Tokyo/102834",8.7,"CA$28.74","8.3km from city centre  - Show on Map"
"47","Kikka","https://www.hostelworld.com/hosteldetails.php/Kikka/Tokyo/291488",8.5,"CA$35.92","8km from city centre  - Show on Map"
"48","Little Japan","https://www.hostelworld.com/hosteldetails.php/Little-Japan/Tokyo/277898",8.9,"CA$25.14","8.5km from city centre  - Show on Map"
"49","Hiromas Hostel in Kanda","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Kanda/Tokyo/276841",7.6,"CA$23.94","7.6km from city centre  - Show on Map"
"50","Playsis East Tokyo","https://www.hostelworld.com/hosteldetails.php/Playsis-East-Tokyo/Tokyo/287001",9.2,"CA$26.34","10.2km from city centre  - Show on Map"
"51","Obi Hostel","https://www.hostelworld.com/hosteldetails.php/Obi-Hostel/Tokyo/274874",8.2,"CA$23.95","8.2km from city centre  - Show on Map"
"52","Stayto (former: Oak Hotel)","https://www.hostelworld.com/hosteldetails.php/Stayto-former-Oak-Hotel/Tokyo/53367",8.5,"CA$29.93","8.7km from city centre  - Show on Map"
"53","&And Hostel Akihabara","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Akihabara/Tokyo/283418",9,"CA$38.32","7.8km from city centre  - Show on Map"
"54","Focus Kuramae","https://www.hostelworld.com/hosteldetails.php/Focus-Kuramae/Tokyo/294343",9.3,"CA$23.35","9km from city centre  - Show on Map"
"55","Khaosan World Asakusa RYOKAN & HOSTEL","https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Asakusa-RYOKAN-and-HOSTEL/Tokyo/79505",9,"CA$29.93","9.5km from city centre  - Show on Map"
"56","Khaosan World Ryogoku Hostel","https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Ryogoku-Hostel/Tokyo/275477",8.9,"CA$27.54","9.5km from city centre  - Show on Map"
"57","Oak Hostel Zen","https://www.hostelworld.com/hosteldetails.php/Oak-Hostel-Zen/Tokyo/85697",8.8,"CA$26.34","8.8km from city centre  - Show on Map"
"58","Hostel Chapter Two Tokyo","https://www.hostelworld.com/hosteldetails.php/Hostel-Chapter-Two-Tokyo/Tokyo/283855",9.7,"CA$44.30","9.8km from city centre  - Show on Map"
"59","Homeikan","https://www.hostelworld.com/hosteldetails.php/Homeikan/Tokyo/1133",9,"CA$43.10","6.3km from city centre  - Show on Map"
"60","Hostel WAQWAQ Tokyo Ueno Asakusa","https://www.hostelworld.com/hosteldetails.php/Hostel-WAQWAQ-Tokyo-Ueno-Asakusa/Tokyo/284498",8.3,"CA$22.25","9km from city centre  - Show on Map"
"61","Sakura Hotel Ikebukuro","https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Ikebukuro/Tokyo/22747",8.4,"CA$28.02","5.1km from city centre  - Show on Map"
"62","Hostel Pumpkey Tokyo","https://www.hostelworld.com/hosteldetails.php/Hostel-Pumpkey-Tokyo/Tokyo/284499",8.1,"CA$37.72","2.3km from city centre  - Show on Map"
"63","Good Diner Inn Copain","https://www.hostelworld.com/hosteldetails.php/Good-Diner-Inn-Copain/Tokyo/269709",9.1,"CA$41.91","5.6km from city centre  - Show on Map"
"64","Iza Tokyo Asakusa Guesthouse","https://www.hostelworld.com/hosteldetails.php/Iza-Tokyo-Asakusa-Guesthouse/Tokyo/266642",9,"CA$29.93","9.9km from city centre  - Show on Map"
"65","Book And Bed Tokyo Asakusa","https://www.hostelworld.com/hosteldetails.php/Book-And-Bed-Tokyo-Asakusa/Tokyo/281524",9.2,"CA$49.14","9.6km from city centre  - Show on Map"
"66","Hostel Wahaku Kotobuki","https://www.hostelworld.com/hosteldetails.php/Hostel-Wahaku-Kotobuki/Tokyo/288767",8.4,"CA$27.66","9.3km from city centre  - Show on Map"
"67","ARTnSHELTER","https://www.hostelworld.com/hosteldetails.php/ARTnSHELTER/Tokyo/101399",8.2,"CA$28.14","10.5km from city centre  - Show on Map"
"68","Toco Tokyo Heritage Hostel","https://www.hostelworld.com/hosteldetails.php/Toco-Tokyo-Heritage-Hostel/Tokyo/46418",9.4,"CA$35.92","9.1km from city centre  - Show on Map"
"69","Train Hostel HOKUTOSEI","https://www.hostelworld.com/hosteldetails.php/Train-Hostel-HOKUTOSEI/Tokyo/272910",8.8,"CA$25.14","8.3km from city centre  - Show on Map"
"70","bnb+Shinjuku Castle","https://www.hostelworld.com/hosteldetails.php/bnbShinjuku-Castle/Tokyo/282677",8.1,"CA$23.95","1.3km from city centre  - Show on Map"
"71","Book And Bed Tokyo Ikebukuro","https://www.hostelworld.com/hosteldetails.php/Book-And-Bed-Tokyo-Ikebukuro/Tokyo/264865",8.8,"CA$49.14","4.9km from city centre  - Show on Map"
